Car Make,Car Model,Year,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Koenigsegg,Jesko,2021,5,1280.0,1106,2.5,2800000.0
Koenigsegg,Jesko,2021,5,1280.0,1015,2.5,2800000.0
Koenigsegg,Jesko,2021,5,1262.0,1106,2.5,3000000.0
McLaren,Speedtail,2021,4,1035.0,848,2.5,2300000.0
Ferrari,SF90 Stradale,2022,4,986.0,590,2.5,625000.0
Ferrari,SF90 Stradale,2021,4.0 (Hybrid),986.0,590,2.5,625000.0
Ferrari,SF90 Stradale,2022,4,986.0,590,2.5,507000.0
Ferrari,SF90 Stradale,2021,4,986.0,590,2.5,625000.0
Porsche,918 Spyder,2015,4.6,887.0,944,2.2,1800000.0
Lamborghini,Sián,2021,6.5,819.0,531,2.8,3600000.0
W Motors,Fenyr Supersport,2022,3.8,800.0,723,2.7,1700000.0
W Motors,Fenyr SuperSport,2022,3.8,800.0,723,2.7,1550000.0
Pagani,Huayra Roadster BC,2021,6,791.0,774,2.5,3500000.0
Pagani,Huayra BC,2021,6,791.0,774,2.7,2600000.0
McLaren,Senna,2020,4,789.0,590,2.7,1500000.0
McLaren,Senna,2021,4,789.0,590,2.7,1000000.0
McLaren,Senna,2019,4,789.0,590,2.7,1050000.0
W Motors,Lykan Hypersport,2015,3.7,780.0,708,2.8,3400000.0
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,517770.0
Lamborghini,Aventador SVJ,2020,6.5,770.0,531,2.8,573966.0
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,517700.0
Lamborghini,Aventador SVJ,2021,6.5,770.0,531,2.8,518000.0
Lamborghini,Aventador,2021,6.5,770.0,531,2.9,522000.0
Pagani,Huayra,2021,6,764.0,738,2.8,3500000.0
Pagani,Huayra,2021,6,764.0,738,3.0,2600000.0
Pagani,Huayra,2021,6,764.0,740,2.8,2600000.0
Pagani,Huayra,2022,6,764.0,738,2.8,2800000.0
Pagani,Huayra,2021,6,764.0,738,2.6,2600000.0
Pagani,Huayra,2021,6,764.0,737,3.0,2600000.0
Lamborghini,Aventador SVJ,2021,6.5,759.0,531,2.8,517000.0
Lamborghini,Aventador SVJ,2020,6.5,759.0,531,2.8,573966.0
Lamborghini,Aventador,2021,6.5,759.0,531,2.9,517770.0
Lamborghini,Aventador SVJ,2021,6.5,759.0,531,2.8,518000.0
Lamborghini,Aventador SVJ,2020,6.5,759.0,531,2.8,517000.0
Lamborghini,Aventador SVJ,2021,6.5,759.0,531,2.8,517770.0
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,517000.0
Lamborghini,Aventador,2021,6.5,730.0,507,2.8,517770.0
Pagani,Huayra,2021,6,730.0,738,3.0,2600000.0
Lamborghini,Aventador,2021,6.5,730.0,509,2.9,517700.0
Pagani,Huayra,2020,6,720.0,738,3.0,2700000.0
Pagani,Huayra,2021,6,720.0,737,2.8,2800000.0
Shelby,Cobra,1965,7,435.0,440,4.2,1000000.0
